Deck,Title,LowerPrice,DateTime
GLD3,Aegis of Gaia,"0,02 €",2022-09-27
YS14,"Aether, the Empowering Dragon","0,02 €",2022-09-27
DEM3,"Aether, the Empowering Dragon","0,02 €",2022-09-27
LVP3,Aerial Recharge,N/A,2022-09-27
DAMA-JP,Aeropixthree,"1,00 €",2022-09-27
Deck,Title,LowerPrice,DateTime
BLAR,Afterglow,"0,02 €",2022-09-27
LEHD,A Feather of the Phoenix,"0,02 €",2022-09-27
FET,A Feather of the Phoenix (V.1 - Super Rare),"0,02 €",2022-09-27
LCYW,A Feather of the Phoenix,"0,74 €",2022-09-27
CBLZ,After the Storm,"0,02 €",2022-09-27
LOD,A Feint Plan (V.1 - Common),"0,02 €",2022-09-27
CP03,A Feather of the Phoenix,"0,19 €",2022-09-27
DB2,After the Struggle,"0,02 €",2022-09-27
YSDS,A Feather of the Phoenix,"0,02 €",2022-09-27
FET,A Feather of the Phoenix (V.2 - Ultimate Rare),"4,00 €",2022-09-27
LOD,After the Struggle (V.1 - Rare),"0,02 €",2022-09-27
DR3,A Feather of the Phoenix,"0,55 €",2022-09-27
CP20,Afterglow,"0,03 €",2022-09-27
LOD,A Feint Plan (V.2 - Common),"0,05 €",2022-09-27
LOD,After the Struggle (V.2 - Rare),"3,00 €",2022-09-27
Deck,Title,LowerPrice,DateTime
SOFU,Agave Dragon,"0,02 €",2022-09-27
MP19,Agave Dragon,"0,02 €",2022-09-27
DCR,Agido (V.1 - Common),"0,02 €",2022-09-27
DP11,Against the Wind,"0,02 €",2022-09-27
RGBT,Against the Wind,"0,02 €",2022-09-27
DR1,Agido,"0,02 €",2022-09-27
SOFU-JP,Agave Dragon,"3,00 €",2022-09-27
WCS,"Aggiba, the Malevolent Sh'nn S'yo (V.1 - Special)",N/A,2022-09-27
WCS,"Aggiba, the Malevolent Sh'nn S'yo (V.2 - Special)","500,00 €",2022-09-27
DCR,Agido (V.2 - Common),"0,02 €",2022-09-27
DP27,Agido the Ancient Sentry (V.2 - Secret Rare),N/A,2022-09-27
DP27,Agido the Ancient Sentry (V.1 - Super Rare),"12,00 €",2022-09-27
Deck,Title,LowerPrice,DateTime
LDS3,A Hero Lives,"0,02 €",2022-09-27
LED6,A Hero Lives,"0,02 €",2022-09-27
EGS1,"Ahrima, the Wicked Warden","0,02 €",2022-09-27
SR06,"Ahrima, the Wicked Warden","0,05 €",2022-09-27
DUSA,A Hero Lives,"0,99 €",2022-09-27
SDHS,A Hero Lives,"0,02 €",2022-09-27
GENF,A Hero Lives (V.1 - Ultra Rare),"0,99 €",2022-09-27
DP1,A Hero Emerges,"0,02 €",2022-09-27
SGX1,A Hero Emerges,"0,02 €",2022-09-27
DR2,A Hero Emerges,"0,02 €",2022-09-27
IOC,A Hero Emerges (V.1 - Common),"0,02 €",2022-09-27
GENF,A Hero Lives (V.2 - Ultimate Rare),"35,00 €",2022-09-27
BP02,A Hero Emerges (V.1 - Common),"0,02 €",2022-09-27
YS14,A Hero Emerges,"0,02 €",2022-09-27
DT02,A Hero Emerges,"0,25 €",2022-09-27
BP02,A Hero Emerges (V.2 - Mosaic Rare),"0,10 €",2022-09-27
IOC,A Hero Emerges (V.2 - Common),"0,05 €",2022-09-27
DP23,A Hero Lives,"0,05 €",2022-09-27
SGX2,A Hero Lives (V.1 - Common),"0,49 €",2022-09-27
SGX2,A Hero Lives (V.2 - Secret Rare),N/A,2022-09-27
Deck,Title,LowerPrice,DateTime
MP22,A.I. Meet You,"0,10 €",2022-09-27
LIOV,A.I. Meet You,"0,02 €",2022-09-27
