expid;expname;nCardsexp;dataexp;
MDM;Spell Ruler (MDM);131 Cards;22nd October;2003
SDH;Spell Ruler (SDH);104 Cards;1st September;2004
SDM;Spell Ruler (SDM);131 Cards;1st December;2003
SPWA;Spirit Warriors;60 Cards;16th November;2017
SDD;Stairway to the Destined Duel;6 Cards;15th April;2003
SP13;Star Pack 2013;100 Cards;1st February;2013
SP14;Star Pack 2014;100 Cards;21st February;2014
SP15;Star Pack Arc-V;98 Cards;18th June;2015
SP17;Star Pack Battle Royal;99 Cards;9th March;2017
SP18;Star Pack VRAINS;99 Cards;29th March;2018
SOVR;Stardust Overdrive;116 Cards;1st December;2009
SOVR-JP;Stardust Overdrive (Japanese);0 Cards;18th July;2009
STBL;Starstrike Blast;114 Cards;1st November;2010
STBL-JP;Starstrike Blast (Japanese);0 Cards;17th July;2010
SB;Starter Box;0 Cards;18th March;1999
YSD-JP;Starter Deck 2006 (Japanese);0 Cards;23rd March;2006
YSD2;Starter Deck 2007;0 Cards;22nd March;2007
YSD3-JP;Starter Deck 2008 (Japanese);0 Cards;15th March;2008
YSD4-JP;Starter Deck 2009 (Japanese);0 Cards;14th March;2009
YSD5;Starter Deck 2010;0 Cards;20th March;2010
YSD6;Starter Deck 2011;0 Cards;19th March;2011
ST12;Starter Deck 2012;0 Cards;17th March;2012
ST13;Starter Deck 2013;0 Cards;16th March;2013
ST14;Starter Deck 2014;48 Cards;21st March;2014
ST16;Starter Deck 2016;43 Cards;19th March;2016
ST17;Starter Deck 2017;43 Cards;25th March;2017
ST18;Starter Deck 2018;51 Cards;24th March;2018
ST19;Starter Deck 2019;47 Cards;23rd March;2019
YSD3;Starter Deck: 2008;43 Cards;1st March;2008
5DS2;Starter Deck: 2009;43 Cards;1st March;2009
YS18;Starter Deck: Codebreaker;45 Cards;12th July;2018
YS11;Starter Deck: Dawn of the Xyz;45 Cards;1st July;2011
5DS3;Starter Deck: Duelist Toolbox;42 Cards;1st May;2010
YSD;Starter Deck: GX 2006;41 Cards;23rd March;2006
YSDJ;Starter Deck: Jaden Yuki;41 Cards;1st July;2007
SDJ;Starter Deck: Joey;50 Cards;30th March;2003
BIJ;Starter Deck: Joey (BIJ);50 Cards;30th March;2003
DDJ;Starter Deck: Joey (DDJ);50 Cards;30th March;2003
DIJ;Starter Deck: Joey (DIJ);50 Cards;30th March;2003
MIJ;Starter Deck: Joey (MIJ);50 Cards;30th March;2003
SDK;Starter Deck: Kaiba;146 Cards;29th March;2002
BIK;Starter Deck: Kaiba (BIK);50 Cards;29th March;2002
DDK;Starter Deck: Kaiba (DDK);96 Cards;29th March;2002
DIK;Starter Deck: Kaiba (DIK);50 Cards;1st March;2002
MIK;Starter Deck: Kaiba (MIK);46 Cards;29th March;2002
SKE;Starter Deck: Kaiba Evolution;50 Cards;1st March;2004
YSKR;Starter Deck: Kaiba Reloaded;50 Cards;6th December;2013
YS17;Starter Deck: Link Strike;43 Cards;20th July;2017
SDP;Starter Deck: Pegasus;50 Cards;30th March;2003
BIP;Starter Deck: Pegasus (BIP);50 Cards;30th March;2003
DDP;Starter Deck: Pegasus (DDP);50 Cards;30th March;2003
DIP;Starter Deck: Pegasus (DIP);50 Cards;30th March;2003
MIP;Starter Deck: Pegasus (MIP);50 Cards;30th March;2003
YSDS;Starter Deck: Syrus;41 Cards;1st July;2007
YS12;Starter Deck: Xyz Symphony;43 Cards;1st April;2012
5DS1;Starter Deck: Yu-Gi-Oh! 5D's;43 Cards;1st August;2008
SDY;Starter Deck: Yugi;146 Cards;29th March;2002
BIY;Starter Deck: Yugi (BIY);50 Cards;29th March;2002
DDY;Starter Deck: Yugi (DDY);96 Cards;29th March;2002
DIY;Starter Deck: Yugi (DIY);50 Cards;1st March;2002
MIY;Starter Deck: Yugi (MIY);46 Cards;29th March;2002
SYE;Starter Deck: Yugi Evolution;50 Cards;1st March;2004
YSYR;Starter Deck: Yugi Reloaded;47 Cards;6th December;2013
YS16;Starter Deck: Yuya;43 Cards;26th May;2016
STOR;Storm of Ragnarok;116 Cards;1st February;2011
STOR-JP;Storm of Ragnarok (Japanese);0 Cards;13th November;2010
STON;Strike of Neos;97 Cards;28th February;2007
STON-JP;Strike of Neos (Japanese);0 Cards;16th November;2006
SR01-JP;Structure Deck R: Advent of the True Monarch;42 Cards;13th September;2015
SR06-JP;Structure Deck R: Curse of the Dark;42 Cards;10th March;2018
SR13-JP;Structure Deck R: Devil's Gate;50 Cards;6th August;2022
SR11-JP;Structure Deck R: Dragunity Drive;53 Cards;29th August;2020
SR08-JP;Structure Deck R: Lord of Magician;41 Cards;9th March;2019
SR12-JP;Structure Deck R: Lost Sanctuary;53 Cards;7th August;2021
